query,context,label,source,query_length
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article washington cnn -- congress voted halt planned cut medicare payment doctor tuesday, overriding president bush veto battle pitted health insurer physicians. president bush say object bill take choice away senior pay physicians.","NEW: House votes 383 to 41 to override President Bush's veto .
NEW: Senate votes 70-26 to enact the law over Bush's objections .
Medicare payment bill sent to Bush after Senate filibuster battle .
Bill would stop 10.6 percent cut in what Medicare pays doctors .",M,CNN,324
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
"summarize article cnn -- shadowy figure back seat suv surveillance photo second person interest slaying university north carolina student body president, police said monday. investigator say second male appears back seat atm photo, color","ATM photo shows driver, shadowy figure in back seat of SUV .
Driver appears to be using one of student Eve Carson's ATM cards .
Carson was found shot to death early Wednesday near campus .
Carson was student body president at University of North Carolina at Chapel Hill .",M,CNN,324
"notre dame football team got new head coach 1918,","One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish. Knute Rockne became head coach in 1918. Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties. During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen"". Knute Rockne has the highest winning percentage (.881) in NCAA Division I/",S,SQuAD,70
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
founded knighthood gino cassinis part,"['Dalberg', 'Order of Merit of the Italian Republic', 'What You See Is What You Get (book)']",A,HotpotQA,62
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
many top five single came first album,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in October 2002, peaking at number four on the U.S. Billboard Hot 100 chart. Her first solo album Dangerously in Love was released on June 24, 2003, after Michelle Williams and Kelly Rowland had released their solo efforts. The album sold 317,000 copies in its first week, debuted atop the Billboard 200, and has since sold 11 million copies worldwide. The album's lead single, ""Crazy in Love"", featuring ",S,SQuAD,52
type clothing parkwood topshop athletic ltd produce,"In October 2014, it was announced that Beyoncé with her management company Parkwood Entertainment would be partnering with London-based fashion retailer Topshop, in a new 50/50 split subsidiary business named Parkwood Topshop Athletic Ltd. The new division was created for Topshop to break into the activewear market, with an athletic, street wear brand being produced. ""Creating a partnership with Beyoncé, one of the most hard-working and talented people in the world, who spends many hours of her ",S,SQuAD,65
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"summarize article st. paul, minnesota cnn -- cindy mccain praised husband, republican presidential nominee john mccain, someone unusual strength character speech republican national convention thursday. cindy mccain speaks republican national convention thursday night.","Cindy McCain: America needs someone of unusual strength and character to lead .
Cindy McCain: ""Someone exactly like my husband""
McCain served in Washington without becoming a Washington insider, she says .",M,CNN,324
